title,open_date,link,image_link
I.S.S.,"Opened Jan 19, 2024",https://www.rottentomatoes.com/m/iss,https://resizing.flixster.com/H8EspsHSQ84G0KU49eN9AIwyvEo=/206x305/v2/https://resizing.flixster.com/nvWz4xgiuYGH-j70SuBtblZdtiQ=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzZjZDJkM2NmLTcwYjctNGYzMS05MmM3LWIyMzRkZjAxZjg2Ny5qcGc=
Origin,"Opened Jan 19, 2024",https://www.rottentomatoes.com/m/origin_2023,https://resizing.flixster.com/14wcBCi76E2sPMNAa86lEMRPt6E=/206x305/v2/https://resizing.flixster.com/Ic1JD3hrvATQkjg00zw0u0mO9ac=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzg2YmMxZmE1LTQ2ZmQtNDNmNi1iMTQ3LWQ0NzBmODQ2ZmZlNi5qcGc=
The Zone of Interest,"Opened Dec 15, 2023",https://www.rottentomatoes.com/m/the_zone_of_interest,https://resizing.flixster.com/8pVzqrRSX8YRo2LLSWApkigR9fM=/206x305/v2/https://resizing.flixster.com/sK_6rOkR73t2sfxWzzu1MJY4e-E=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2RkMDcxNjExLWY2OGYtNGJlNS04OTNjLTdhNDA3OGIzZjA1NC5qcGc=
The Iron Claw,"Opened Dec 22, 2023",https://www.rottentomatoes.com/m/the_iron_claw_2023,https://resizing.flixster.com/_tT2FbGIg-jy3dfDyNJjfb4Ikvg=/206x305/v2/https://resizing.flixster.com/TK5WOxtD8WKRZxbd16PIXJhBW7E=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzRkMTA0NDE3LTM2MGEtNDAyYi05MTNjLTI2NTc5MTJkMjg2NC5qcGc=
Oppenheimer,"Opened Jul 21, 2023",https://www.rottentomatoes.com/m/oppenheimer_2023,https://resizing.flixster.com/5bbfOrn5Stku1HxlkK4ISYi2uQk=/206x305/v2/https://resizing.flixster.com/dV1vfa4w_dB4wzk7A_VzThWUWw8=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzEyZDMyYjZmLThmNzAtNDliNC1hMjFmLTA2ZWY4M2UyMjJhMi5qcGc=
The Boy and the Heron,"Opened Dec 08, 2023",https://www.rottentomatoes.com/m/the_boy_and_the_heron,https://resizing.flixster.com/wOMWpAKSmgbWbrqJOqW0zUBcWnA=/206x305/v2/https://resizing.flixster.com/Hk9p4GGqf6TNJ0f8TtJxTqjH5vA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzU3MTE5MDA5LWY0MjEtNDgyYi04OThmLTU4NDNlYTFjZDk0NC5qcGc=
The Holdovers,"Opened Nov 10, 2023",https://www.rottentomatoes.com/m/the_holdovers,https://resizing.flixster.com/a46LuVRnF690tYOTZDFHFU174no=/206x305/v2/https://resizing.flixster.com/Gfe3Lf75Qo5Pb0feNQ58BzwVBOA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzQ4N2I3NGFjLWY3NDAtNDVlMS05ODFmLTNmYjA5ZmE3NTViNi5qcGc=
The Color Purple,"Opened Dec 25, 2023",https://www.rottentomatoes.com/m/the_color_purple,https://resizing.flixster.com/NSxMDfL501_tRHU2sENXnYIzGJo=/206x305/v2/https://resizing.flixster.com/_8mqDG_CFMbH75r18jov-puBBzA=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzZiMzNiZmJiLTk1ODItNDBhMi05M2Y1LTJmMjJkNzUwNzJiYy5qcGc=
The Book of Clarence,"Opened Jan 12, 2024",https://www.rottentomatoes.com/m/the_book_of_clarence_2024,https://resizing.flixster.com/G91HAzPaWTOoI1TbfP6ui4Wg3go=/206x305/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p24843565_p_v8_aa.jpg
All of Us Strangers,"Opened Dec 22, 2023",https://www.rottentomatoes.com/m/all_of_us_strangers,https://resizing.flixster.com/azJDpbVD7C5HeiUvkHAY2SQ0qz4=/206x305/v2/https://resizing.flixster.com/EUhdu3KAXoYTWn0Cq4uGQxmNSSs=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzhkZjA4ZWM0LThkMGMtNDc0My1hMTYyLTVkNzAwNDFjNmNhMS5qcGc=
